file,dcom,lcom
\jfreechart-master\src/main/java/module-info.java,0.069767445,40
\jfreechart-master\src/main/java/org/jfree/chart/annotations/AbstractAnnotation.java,0.65656567,68
\jfreechart-master\src/main/java/org/jfree/chart/annotations/AbstractXYAnnotation.java,0.5860215,77
\jfreechart-master\src/main/java/org/jfree/chart/annotations/Annotation.java,0.877193,7
\jfreechart-master\src/main/java/org/jfree/chart/annotations/CategoryAnnotation.java,0.8333333,10
\jfreechart-master\src/main/java/org/jfree/chart/annotations/CategoryLineAnnotation.java,0.4923077,198
\jfreechart-master\src/main/java/org/jfree/chart/annotations/CategoryPointerAnnotation.java,0.5104167,235
\jfreechart-master\src/main/java/org/jfree/chart/annotations/CategoryTextAnnotation.java,0.5,123
\jfreechart-master\src/main/java/org/jfree/chart/annotations/package-info.java,0.75,1
\jfreechart-master\src/main/java/org/jfree/chart/annotations/TextAnnotation.java,0.56369424,137
\jfreechart-master\src/main/java/org/jfree/chart/annotations/XYAnnotation.java,0.828125,11
\jfreechart-master\src/main/java/org/jfree/chart/annotations/XYAnnotationBoundsInfo.java,0.890625,7
\jfreechart-master\src/main/java/org/jfree/chart/annotations/XYBoxAnnotation.java,0.4853801,176
\jfreechart-master\src/main/java/org/jfree/chart/annotations/XYDataImageAnnotation.java,0.52537316,159
\jfreechart-master\src/main/java/org/jfree/chart/annotations/XYDrawableAnnotation.java,0.47037038,143
\jfreechart-master\src/main/java/org/jfree/chart/annotations/XYImageAnnotation.java,0.50735295,134
\jfreechart-master\src/main/java/org/jfree/chart/annotations/XYLineAnnotation.java,0.45619336,180
\jfreechart-master\src/main/java/org/jfree/chart/annotations/XYPointerAnnotation.java,0.48987854,252
\jfreechart-master\src/main/java/org/jfree/chart/annotations/XYPolygonAnnotation.java,0.46728972,171
\jfreechart-master\src/main/java/org/jfree/chart/annotations/XYShapeAnnotation.java,0.44117647,152
\jfreechart-master\src/main/java/org/jfree/chart/annotations/XYTextAnnotation.java,0.516295,282
\jfreechart-master\src/main/java/org/jfree/chart/annotations/XYTitleAnnotation.java,0.40947077,212
\jfreechart-master\src/main/java/org/jfree/chart/api/HorizontalAlignment.java,0.875,6
\jfreechart-master\src/main/java/org/jfree/chart/api/Layer.java,0.8648649,5
\jfreechart-master\src/main/java/org/jfree/chart/api/LengthAdjustmentType.java,0.87234044,6
\jfreechart-master\src/main/java/org/jfree/chart/api/package-info.java,0.75,1
\jfreechart-master\src/main/java/org/jfree/chart/api/PublicCloneable.java,0.9056604,5
\jfreechart-master\src/main/java/org/jfree/chart/api/RectangleAlignment.java,0.375,80
\jfreechart-master\src/main/java/org/jfree/chart/api/RectangleAnchor.java,0.375,95
\jfreechart-master\src/main/java/org/jfree/chart/api/RectangleEdge.java,0.60747665,42
\jfreechart-master\src/main/java/org/jfree/chart/api/RectangleInsets.java,0.49275362,245
\jfreechart-master\src/main/java/org/jfree/chart/api/Rotation.java,0.8208955,12
\jfreechart-master\src/main/java/org/jfree/chart/api/SortOrder.java,0.8863636,5
\jfreechart-master\src/main/java/org/jfree/chart/api/TableOrder.java,0.8863636,5
\jfreechart-master\src/main/java/org/jfree/chart/api/UnitType.java,0.8863636,5
\jfreechart-master\src/main/java/org/jfree/chart/api/VerticalAlignment.java,0.875,6
\jfreechart-master\src/main/java/org/jfree/chart/api/XYCoordinateType.java,0.8867925,6
\jfreechart-master\src/main/java/org/jfree/chart/axis/Axis.java,0.48632812,789
\jfreechart-master\src/main/java/org/jfree/chart/axis/AxisCollection.java,0.61417323,49
\jfreechart-master\src/main/java/org/jfree/chart/axis/AxisLabelLocation.java,0.87234044,6
\jfreechart-master\src/main/java/org/jfree/chart/axis/AxisLocation.java,0.67901236,26
\jfreechart-master\src/main/java/org/jfree/chart/axis/AxisSpace.java,0.4473684,189
\jfreechart-master\src/main/java/org/jfree/chart/axis/AxisState.java,0.62285715,66
\jfreechart-master\src/main/java/org/jfree/chart/axis/CategoryAnchor.java,0.875,6
\jfreechart-master\src/main/java/org/jfree/chart/axis/CategoryAxis.java,0.4398148,726
\jfreechart-master\src/main/java/org/jfree/chart/axis/CategoryLabelPosition.java,0.5676856,99
\jfreechart-master\src/main/java/org/jfree/chart/axis/CategoryLabelPositions.java,0.40710384,217
\jfreechart-master\src/main/java/org/jfree/chart/axis/CategoryLabelWidthType.java,0.8888889,5
\jfreechart-master\src/main/java/org/jfree/chart/axis/CategoryTick.java,0.5833333,55
\jfreechart-master\src/main/java/org/jfree/chart/axis/CompassFormat.java,0.6571429,48
\jfreechart-master\src/main/java/org/jfree/chart/axis/CyclicNumberAxis.java,0.3769084,653
\jfreechart-master\src/main/java/org/jfree/chart/axis/DateAxis.java,0.36347306,1063
\jfreechart-master\src/main/java/org/jfree/chart/axis/DateTick.java,0.65,42
\jfreechart-master\src/main/java/org/jfree/chart/axis/DateTickMarkPosition.java,0.8867925,6
\jfreechart-master\src/main/java/org/jfree/chart/axis/DateTickUnit.java,0.5583596,140
\jfreechart-master\src/main/java/org/jfree/chart/axis/DateTickUnitType.java,0.7567568,18
\jfreechart-master\src/main/java/org/jfree/chart/axis/ExtendedCategoryAxis.java,0.53913045,106
\jfreechart-master\src/main/java/org/jfree/chart/axis/LogarithmicAxis.java,0.41009465,561
